ファイル,ASIN,商品名,検証状態,代替,確認用URL,掲載箇所数,種別,Amazon上の実際の商品名,在庫,検証メモ,検証日,検証方法
dish-best10.html,B00CBXJYBA,ウォーターディッシュ S PT2801（岩型・小）,OK,,https://www.amazon.co.jp/dp/B00CBXJYBA/,1,data-asin（JSで/dp/へ展開）,GEX エキゾテラ ウォーターディッシュ S,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B00CBXJZF0,ピュアソイル ブラック 2kg,OK,,https://www.amazon.co.jp/dp/B00CBXJZF0/,1,data-asin（JSで/dp/へ展開）,GEX ピュアソイル ブラック 2kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00CX9G5DM,GEX エキゾテラ アナログ温度計 PT2465,OK,,https://www.amazon.co.jp/dp/B00CX9G5DM/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX エキゾテラ アナログ温度計 PT2465,,2026-09-08 修正済み。「アナログ温湿度計」→「アナログ温度計 PT2465」。楽天の誤マッチも降格し再照合待ち,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
dish-best10.html,B00D1FXI2I,スドー 岩石皿 S（天然石調エサ皿）,OK,,https://www.amazon.co.jp/dp/B00D1FXI2I/,1,data-asin（JSで/dp/へ展開）,EXO TERRA フィーディングディッシュ S PT2811,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html | data/products.js,B00E0GLJAK,GEX EXOTERRA グラステラリウム 4545,OK,,https://www.amazon.co.jp/dp/B00E0GLJAK/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA グラステラリウム 4545 PT2605,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B00E0GLLKI,グラステラリウム 9045（前面ドア・大型）,CAUTION,,https://www.amazon.co.jp/dp/B00E0GLLKI/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA グラステラリウム 9045 PT2613,納期1〜2ヶ月,商品名は一致。入荷まで1〜2ヶ月かかる表示,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00E0GLQPI,GEX EXOTERRA サングロー バスキングスポットランプ 150W,OK,,https://www.amazon.co.jp/dp/B00E0GLQPI/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA サングロー バスキングスポットランプ 150W PT2134,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
dish-best10.html,B00E0GLY96,ウォーターディッシュ L PT2803（岩型・大）,OK,,https://www.amazon.co.jp/dp/B00E0GLY96/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA ウォーターディッシュ L PT2803,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B00E0GM8JG,GEX エキゾテラ レプタイルケイブ M（岩型・中）,OK,,https://www.amazon.co.jp/dp/B00E0GM8JG/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA レプタイルケイブ M PT2852,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B00E0GMHEM,タートルフィルター［PRO］L2（水中式・大型）,CAUTION,,https://www.amazon.co.jp/dp/B00E0GMHEM/,1,data-asin（JSで/dp/へ展開）,水作 タートルフィルター L-2,,サイト表記「タートルフィルター［PRO］L2」の「PRO」は正式名称に含まれない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | guide-beginner.html | shindan/equipment.js | species/pink-bellied-template.html | species/three-toed-box-template.html,B00E0GMQAM,カメプロス（キョーリン）,OK,,https://www.amazon.co.jp/dp/B00E0GMQAM/,5,HTML内の直リンク / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,キョーリン ひかり カメプロス 200g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00FJDV6QU,Repashy Veggie Burger 170g,OK,,https://www.amazon.co.jp/dp/B00FJDV6QU/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,レパシー REPASHY ベジバーガー 170g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00GN5RFWM,ニッソー プロテクトPROヒーター 200W,OK,,https://www.amazon.co.jp/dp/B00GN5RFWM/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ニッソー プロテクトPROヒーター 200W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shindan/equipment.js | species/hermann-dry-template.html | substrate-best10.html,B00I0MM9MC,あかぎ園芸 赤玉土 小粒 20L,OK,,https://www.amazon.co.jp/dp/B00I0MM9MC/,3,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材）,あかぎ園芸 赤玉土 小粒 20L,,実在。サイト側のリンク文言が商品名を示していない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B00IICNLSU,パンテオン WH6030（コンパクト入門ケージ）,OK,,https://www.amazon.co.jp/dp/B00IICNLSU/,1,data-asin（JSで/dp/へ展開）,三晃商会 SANKO パンテオン ホワイト WH6030,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B00JGLKPFE,GEX EXOTERRA タイマーサーモ RTT-1,OK,,https://www.amazon.co.jp/dp/B00JGLKPFE/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA タイマーサーモ RTT-1,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | guide-beginner.html | shindan/equipment.js | species/pink-bellied-template.html | species/three-toed-box-template.html | uvb-light-best10.html,B00JZFJ5LQ,Zoo Med ReptiSun 5.0 UVB T5,OK,,https://www.amazon.co.jp/dp/B00JZFJ5LQ/,6,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ビバリア スパイラルUVB フォレスト 26W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | guide-beginner.html | shindan/equipment.js | species/_template-monetized.html | species/hermann-dry-template.html | uvb-light-best10.html,B00JZFJ5R0,Zoo Med ReptiSun 10.0 UVB T5,OK,,https://www.amazon.co.jp/dp/B00JZFJ5R0/,6,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ビバリア スパイラルUVB デザート 26W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html | cage-review.html,B00M2P5DIK,パンテオン WH9045（大型リクガメ定番）,OK,,https://www.amazon.co.jp/dp/B00M2P5DIK/,2,HTML内の直リンク / data-asin（JSで/dp/へ展開）,三晃商会 SANKO パンテオン ホワイト WH9045,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B00N3MZ88G,トロ舟 #60（中型屋外容器）,OK,,https://www.amazon.co.jp/dp/B00N3MZ88G/,1,data-asin（JSで/dp/へ展開）,赤長 DIYトロ舟 ブラック 60L,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B00O0QM6H0,タートルバンク M（水棲ガメ用浮島）,OK,,https://www.amazon.co.jp/dp/B00O0QM6H0/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA タートルバンク M PT3801,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | shelter-best10.html,B00O0QMK2Q,水棲ガメ用ドック（浮島タイプ）,OK,,https://www.amazon.co.jp/dp/B00O0QMK2Q/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA タートルバンク S PT3800,,2026-09-08 shelter-best10 の「タートルバンクS」枠へ採用（旧 B07SFCGCP1 はピタッとランドで別商品）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B00XA2MG8Y,タートルフィルタープラス S（水中式・低水位）,OK,,https://www.amazon.co.jp/dp/B00XA2MG8Y/,1,data-asin（JSで/dp/へ展開）,水作 タートルフィルタープラス Sサイズ,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | shindan/equipment.js,B00XVP3TPO,水作 大磯砂 2.4kg,CAUTION,,https://www.amazon.co.jp/dp/B00XVP3TPO/,2,equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,水作 水槽の底砂 2.4kg,在庫切れ,Amazon上の商品名は「水槽の底砂」。サイト表記「大磯砂」と表記が異なる。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | substrate-best10.html,B016B0MXVQ,GEX EXOTERRA テラリウムソイル 4kg,OK,,https://www.amazon.co.jp/dp/B016B0MXVQ/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA テラリウムソイル 4kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B01BXVIHRM,爬虫類用プロバイオティクス,CAUTION,,https://www.amazon.co.jp/dp/B01BXVIHRM/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ジェックス カメ元気 プロバイオフード 180g,,サイト表記「爬虫類用プロバイオティクス」は汎用名。実体はカメ用の配合フードでサプリメントではない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B01F654UHM,Zoo Med 天然コルクバーク ラウンド M（3パック）,OK,,https://www.amazon.co.jp/dp/B01F654UHM/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Zoo Med 天然コルクバーク ラウンド ミディアム（3パック）,,2026-09-08 修正済み。「コルクバーク（丸太）」→「Zoo Med 天然コルクバーク ラウンド M（3パック）」,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
food-best10.html,B01GTF8ZVK,カメプロスミニ 40g（小型水棲ガメ・幼体向け）,OK,,https://www.amazon.co.jp/dp/B01GTF8ZVK/,1,data-asin（JSで/dp/へ展開）,キョーリン ひかり カメプロス ミニ 40g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B01KLHZOWA,シンワ測定 デジタル温度計 73117,OK,,https://www.amazon.co.jp/dp/B01KLHZOWA/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,シンワ測定 デジタル温度計 73117,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B01M3QC51M,スパイラル ソフトUVB 26W（弱め）,OK,,https://www.amazon.co.jp/dp/B01M3QC51M/,1,data-asin（JSで/dp/へ展開）,ビバリア スパイラル ソフトUVB 26W,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | substrate-best10.html | substrate-review.html,B06XC8YK4Y,砂・土ミックス床材,CAUTION,,https://www.amazon.co.jp/dp/B06XC8YK4Y/,3,HTML内の直リンク / data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX エキゾテラ デザートソイル 2kg,,サイト表記「砂・土ミックス床材」は汎用名で商品を特定できない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-review.html,B078B7V1ZJ,三晃商会 パンテオン ブラック BK9045,OK,,https://www.amazon.co.jp/dp/B078B7V1ZJ/,1,HTML内の直リンク,三晃商会 SANKO パンテオン ブラック BK9045,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
shelter-best10.html,B079L7M5RW,大和プラスチック フレグラー 壁掛 24型（土に埋めて隠れ家に）,OK,,https://www.amazon.co.jp/dp/B079L7M5RW/,1,data-asin（JSで/dp/へ展開）,大和プラスチック フレグラー 壁掛 24型 ダークブラウン,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B07B4WJYZW,カメプロス プレミアム（高品質版）,OK,,https://www.amazon.co.jp/dp/B07B4WJYZW/,1,data-asin（JSで/dp/へ展開）,キョーリン カメプロス プレミアム 70g,,一致（サイト表記に内容量なし）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B07B8J9FYS,ハイドロボックス（保湿シェルター）,OK,,https://www.amazon.co.jp/dp/B07B8J9FYS/,1,data-asin（JSで/dp/へ展開）,ビバリア RP-340 ハイドロボックス（保湿シェルター）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B07BBJ8G6Q,GEX エキゾテラ デザートソイル 10kg（乾燥系リクガメ）,OK,,https://www.amazon.co.jp/dp/B07BBJ8G6Q/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA デザートソイル 10kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | uvb-light-best10.html,B07BBMVJ6H,GEX EXOTERRA ソーラーグローUV 80W,OK,,https://www.amazon.co.jp/dp/B07BBMVJ6H/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA ソーラーグローUV 80W PT2334,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-review.html,B07CQPH6RN,エーハイム クラシックフィルター 2213 ろ材付きセット,OK,,https://www.amazon.co.jp/dp/B07CQPH6RN/,1,HTML内の直リンク,エーハイム クラシックフィルター 2213 ろ材付きセット,,2026-09-08 修正済み。「ろ材別購入」→「ろ材付きセット」に是正,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B07DJFGVBY,コトブキ レグラスフラット F-600S（浅型水棲ガメ水槽）,OK,,https://www.amazon.co.jp/dp/B07DJFGVBY/,1,data-asin（JSで/dp/へ展開）,寿工芸 レグラスフラット F-600S LOW,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | shelter-best10.html,B07F3L16ZR,スドー ロックシェルターSP ML,OK,,https://www.amazon.co.jp/dp/B07F3L16ZR/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,スドー ロックシェルターSP ML,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B07F3PG28G,水作エイト S（投込み式・小型）,CAUTION,,https://www.amazon.co.jp/dp/B07F3PG28G/,1,data-asin（JSで/dp/へ展開）,水作 エイト S 本体 5個（箱売り）,,単品ではなく5個セット。サイト表記に数量の記載がない,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B07F3Q7L3Y,スドー ハープクラフト ロックシェルターSP S,OK,,https://www.amazon.co.jp/dp/B07F3Q7L3Y/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,スドー RX-191 ハープクラフト ロックシェルターSP S,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-review.html,B07F3QBSP1,GEX エキゾテラ デザートソイル 4kg,OK,,https://www.amazon.co.jp/dp/B07F3QBSP1/,1,HTML内の直リンク,GEX EXOTERRA デザートソイル 4kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B07F3RVTXP,ロックシェルターSP L2（岩型・中）,OK,,https://www.amazon.co.jp/dp/B07F3RVTXP/,1,data-asin（JSで/dp/へ展開）,スドー ハープクラフト ロックシェルターSP L2 RX-195,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B07F3SR326,ロックシェルターSP XL（岩型・大）,OK,,https://www.amazon.co.jp/dp/B07F3SR326/,1,data-asin（JSで/dp/へ展開）,スドー ハープクラフト ロックシェルターSP XL RX-196,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B07F49T8N2,ロックシェルターSP XXL（岩型・最大）,OK,,https://www.amazon.co.jp/dp/B07F49T8N2/,1,data-asin（JSで/dp/へ展開）,スドー ハープクラフト ロックシェルターSP XXL RX-197,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B07FHLTXQQ,GEX エキゾテラ ソーラーグロー UV 125W（水銀灯一体型）,OK,,https://www.amazon.co.jp/dp/B07FHLTXQQ/,1,data-asin（JSで/dp/へ展開）,GEX EXOTERRA ソーラーグローUV 125W PT2192,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B07PD2PCMK,GEX カメ元気 オートヒーター SH55,OK,,https://www.amazon.co.jp/dp/B07PD2PCMK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX カメ元気 オートヒーター SH55,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | substrate-best10.html,B07PGZN9CF,GEX EXOTERRA フォレストバーク 8.8L,CAUTION,,https://www.amazon.co.jp/dp/B07PGZN9CF/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA フォレストバーク 8.8L PT2752,在庫切れ,商品名は一致。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-review.html,B07THMF6Q2,GEX エキゾテラ リクガメ飼育キットBK,OK,,https://www.amazon.co.jp/dp/B07THMF6Q2/,1,HTML内の直リンク,GEX フトアゴヒゲトカゲ・リクガメ飼育キット（W61.5×D46.5×H33cm）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B07TYN8584,デジタル温湿度計,CAUTION,,https://www.amazon.co.jp/dp/B07TYN8584/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ThermoPro TP-49 温湿度計,,サイト表記「デジタル温湿度計」は汎用名。実体は ThermoPro TP-49（爬虫類用品ではなく一般家庭用）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B07ZMC69P7,ピタッとランド L（吸盤式バスキング台）,OK,,https://www.amazon.co.jp/dp/B07ZMC69P7/,1,data-asin（JSで/dp/へ展開）,ビバリア ピタッとランド L,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
uvb-light-best10.html,B084ZLQG81,アーケディア T5 UVB 12% 39W（プロ仕様直管）,OK,,https://www.amazon.co.jp/dp/B084ZLQG81/,1,data-asin（JSで/dp/へ展開）,Arcadia ProT5 UVBキット 12%UVB 砂漠 35インチ（39W・器具＋リフレクター＋ランプ一式）,,2026-09-08 差し替え。旧 B0002AQDJK は ZOOMED パワーサンUV 100W で別商品だった,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B084ZY19Q3,GEX EXOTERRA カルシウム 90g（D3なし）,OK,,https://www.amazon.co.jp/dp/B084ZY19Q3/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA カルシウム 90g PT1815,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0851DNPXX,GEX EXOTERRA カルシウム+ビタミンD3 90g,OK,,https://www.amazon.co.jp/dp/B0851DNPXX/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA カルシウム+ビタミンD3 90g PT1856,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0858Y7XJX,ゼンスイ ソラリウムセット（メタルハライドランプ＋灯具）50W,OK,,https://www.amazon.co.jp/dp/B0858Y7XJX/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ゼンスイ ソラリウムセット（メタルハライドランプ＋灯具）50W,"¥27,640",一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B08L9JRQ2D,コトブキ工芸 ヒュドラサーモ HT-330XD,OK,,https://www.amazon.co.jp/dp/B08L9JRQ2D/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,寿工芸 ヒュドラサーモ HT-330XD,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B08W2ZKT94,モイストハイド（湿潤シェルター）,CAUTION,,https://www.amazon.co.jp/dp/B08W2ZKT94/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA モイストシェルター コーナー130,,サイト表記「モイストハイド」は商品名が異なる（正しくはモイストシェルター）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | uvb-light-best10.html,B08W2ZMX45,UVB LED バー 60cm,OK,,https://www.amazon.co.jp/dp/B08W2ZMX45/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ゼンスイ マイクロン+マイクロUV LEDセット,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B08W314BWC,GEX EXOTERRA デザートベース 細目 3L,OK,,https://www.amazon.co.jp/dp/B08W314BWC/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA デザートベース 細目 3L,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | food-best10.html,B08XBQDYM2,カメの主食（GEX）,OK,,https://www.amazon.co.jp/dp/B08XBQDYM2/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,テトラ レプトミン スーパー 中粒 80g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B08XYJKX15,カメプロス 大スティック 60g（大型水棲ガメ向け）,OK,,https://www.amazon.co.jp/dp/B08XYJKX15/,1,data-asin（JSで/dp/へ展開）,キョーリン ひかり カメプロス 大スティック 60g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B09129F675,コルクバーク（天然コルク製シェルター）,OK,,https://www.amazon.co.jp/dp/B09129F675/,1,data-asin（JSで/dp/へ展開）,コルクバーク（爬虫類・両生類用シェルター／登り木）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B093CX3Z1K,テトラ レプトミン ニオイブロック 大粒 200g,OK,,https://www.amazon.co.jp/dp/B093CX3Z1K/,1,data-asin（JSで/dp/へ展開）,テトラ レプトミン ニオイブロック 大粒 200g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B093CY2D93,レプトミンスーパー 大粒 280g,OK,,https://www.amazon.co.jp/dp/B093CY2D93/,1,data-asin（JSで/dp/へ展開）,テトラ レプトミン スーパー 大粒 280g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B097MTYVRZ,ビバリア ウォールナッツサンドP 5.0kg（消臭砂）,OK,,https://www.amazon.co.jp/dp/B097MTYVRZ/,1,data-asin（JSで/dp/へ展開）,ビバリア ウォールナッツサンドP 5.0kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B09CLYQVYR,ウォールナッツサンド 1.5kg,OK,,https://www.amazon.co.jp/dp/B09CLYQVYR/,1,data-asin（JSで/dp/へ展開）,ビバリア RP-740P ウォールナッツサンドP 1.5kg,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-review.html | data/products.js,B09DNYMXTP,SANKO パンテオン ブラック BK9045,OK,,https://www.amazon.co.jp/dp/B09DNYMXTP/,2,HTML内の直リンク / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,三晃商会 SANKO パンテオン カノン ブラック BK9045,,一致（正式名に「カノン」が入る）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
